iter	Passed	Remaining
439	1275	1623
440	1278	1620
441	1280	1616
442	1283	1613
443	1285	1610
444	1288	1606
445	1290	1603
446	1293	1600
447	1296	1597
448	1299	1594
449	1301	1590
450	1304	1587
451	1306	1584
452	1309	1581
453	1312	1577
454	1314	1574
455	1316	1570
456	1319	1567
457	1321	1564
458	1324	1560
459	1326	1557
460	1329	1554
461	1331	1550
462	1333	1547
463	1336	1543
464	1338	1540
465	1341	1537
466	1344	1534
467	1346	1530
468	1348	1527
469	1351	1523
470	1353	1520
471	1356	1517
472	1358	1513
473	1361	1510
474	1363	1506
475	1365	1503
476	1368	1500
477	1370	1496
478	1373	1493
479	1375	1490
480	1377	1486
481	1380	1483
482	1382	1480
483	1385	1476
484	1387	1473
485	1390	1470
486	1392	1466
487	1394	1463
488	1397	1460
489	1399	1457
490	1402	1453
491	1404	1450
492	1407	1446
493	1409	1443
494	1412	1440
495	1414	1437
496	1416	1433
497	1419	1430
498	1421	1427
499	1424	1424
500	1426	1420
501	1428	1417
502	1431	1414
503	1434	1411
504	1436	1408
505	1439	1405
506	1441	1402
507	1444	1398
508	1446	1395
509	1449	1392
510	1451	1389
511	1454	1386
512	1456	1382
513	1458	1379
514	1461	1376
515	1463	1372
516	1466	1369
517	1468	1366
518	1470	1363
519	1473	1360
520	1475	1356
521	1478	1353
522	1480	1350
523	1483	1347
524	1485	1344
525	1488	1340
526	1490	1337
527	1492	1334
528	1495	1331
529	1497	1328
530	1500	1324
531	1502	1321
532	1504	1318
533	1507	1315
534	1510	1312
535	1513	1309
536	1515	1306
537	1518	1304
538	1521	1301
539	1524	1298
540	1526	1295
541	1529	1292
542	1532	1289
543	1535	1286
544	1537	1283
545	1540	1281
546	1543	1278
547	1546	1275
548	1549	1272
549	1551	1269
550	1554	1266
551	1557	1264
552	1560	1261
553	1563	1258
554	1565	1255
555	1568	1252
556	1570	1249
557	1573	1246
558	1576	1243
559	1579	1240
560	1581	1237
561	1584	1234
562	1586	1231
563	1589	1228
564	1591	1225
565	1594	1222
566	1596	1219
567	1599	1216
568	1601	1213
569	1604	1210
570	1607	1207
571	1609	1204
572	1611	1201
573	1614	1198
574	1616	1194
575	1619	1192
576	1621	1188
577	1624	1185
578	1627	1183
579	1629	1179
580	1631	1176
581	1634	1174
582	1637	1170
583	1639	1167
584	1642	1165
585	1645	1162
586	1648	1159
587	1651	1157
588	1654	1154
589	1657	1152
590	1660	1149
591	1663	1146
592	1665	1143
593	1668	1140
594	1670	1137
595	1673	1134
596	1675	1131
597	1678	1128
598	1680	1125
599	1683	1122
600	1685	1118
601	1687	1115
602	1690	1112
603	1692	1109
604	1695	1106
605	1698	1103
606	1700	1100
607	1702	1097
608	1705	1094
609	1708	1092
610	1710	1089
611	1712	1085
612	1715	1082
613	1717	1079
614	1720	1076
615	1722	1073
616	1724	1070
617	1727	1067
618	1729	1064
619	1732	1061
620	1734	1058
621	1737	1055
622	1739	1052
623	1742	1049
624	1744	1046
625	1746	1043
626	1749	1040
627	1751	1037
