iter	Logloss
0	0.6828836393
1	0.672770973
2	0.6637415525
3	0.6526829696
4	0.6409205589
5	0.6285835074
6	0.6173104679
7	0.6064238989
8	0.5968724099
9	0.5874714571
10	0.5788001052
11	0.570146769
12	0.5624063957
13	0.5566362653
14	0.5488013901
15	0.5433434238
16	0.5383740593
17	0.5332474268
18	0.5257988297
19	0.5198356564
20	0.5141310812
21	0.5071761829
22	0.502469744
23	0.4957769698
24	0.4916376386
25	0.4883407465
26	0.4847855448
27	0.4791768819
28	0.4753818993
29	0.4697868283
30	0.4648385569
31	0.4614680635
32	0.4584540039
33	0.4543632379
34	0.4500659334
35	0.4473456695
36	0.4430755166
37	0.4387130417
38	0.4360892993
39	0.4321069477
40	0.4298318815
41	0.4266544951
42	0.4250376725
43	0.4212374647
44	0.4190722554
45	0.4172776166
46	0.415330999
47	0.412078024
48	0.4084739364
49	0.4055559815
50	0.4041021972
51	0.4015200318
52	0.3994492603
53	0.396955442
54	0.3942547966
55	0.3929153571
56	0.391219099
57	0.388565384
58	0.3864129331
59	0.3853129539
60	0.3835104614
61	0.3822054182
62	0.3810656251
63	0.3794518158
64	0.3781733793
65	0.3768248678
66	0.3751662439
67	0.3732914003
68	0.3724369722
69	0.3708179698
70	0.3690965156
71	0.3683089248
72	0.3672292373
73	0.365754392
74	0.3641634068
75	0.3632204072
76	0.362315234
77	0.3611405958
78	0.3600719035
79	0.3587298674
80	0.3578814659
81	0.3565644336
82	0.3552976977
83	0.3542772822
84	0.3538350338
85	0.3533289292
86	0.352791666
87	0.3521977272
88	0.3516290488
89	0.3510668137
90	0.350584495
91	0.3495630216
92	0.349019283
93	0.3484285499
94	0.3474054417
95	0.3465303052
96	0.3456534698
97	0.3444642139
98	0.3440206191
99	0.343359811
100	0.3429023037
101	0.3424058161
102	0.3418181604
103	0.3410892006
104	0.3404895879
105	0.3400039993
106	0.3389441546
107	0.3381014912
108	0.3372777089
109	0.3368936426
110	0.3363787226
111	0.3354967262
112	0.3347069235
113	0.3342757345
114	0.333689329
115	0.3332538124
116	0.3327746031
117	0.3325629355
118	0.3316033628
119	0.3312300033
120	0.3306679926
121	0.3300087552
122	0.3291973146
123	0.3287397753
124	0.3279043887
125	0.3276757954
126	0.3275376648
127	0.3268262398
128	0.3264712486
129	0.3258541973
130	0.3253662045
131	0.3248594909
132	0.3244769313
133	0.3239790973
134	0.3235241225
135	0.3232055792
136	0.32274695
137	0.3224044928
138	0.3218807894
139	0.3214446957
140	0.3208875255
141	0.3206758259
142	0.3201057691
143	0.3197935729
144	0.3195269929
145	0.3189952434
146	0.3186184539
147	0.3181460725
148	0.3177871704
149	0.3174778273
150	0.3172461245
151	0.3169429683
152	0.3166321185
153	0.3163557293
154	0.3161115887
155	0.315724477
156	0.3154655905
157	0.3153073607
158	0.3150474805
159	0.3148827433
160	0.3146452062
161	0.3144508811
162	0.3141923792
163	0.3138827797
164	0.3134534179
165	0.313082142
166	0.3128262047
167	0.3125924503
168	0.3121580236
169	0.3119306805
170	0.3117074085
171	0.3114177159
172	0.311205888
173	0.3110357012
174	0.3108551282
175	0.3105175435
176	0.3102843341
177	0.3100623123
178	0.3096054782
179	0.309384899
180	0.3089505684
181	0.3086427961
182	0.3084186586
183	0.3082175375
184	0.307687551
185	0.3074589256
186	0.3072824879
187	0.3070068359
188	0.3068519721
189	0.3066250456
190	0.3063757119
191	0.3062378699
192	0.3059124987
193	0.3056933619
194	0.3053845959
195	0.3051617406
196	0.3049164139
197	0.3046148605
198	0.3042724994
199	0.3040947794
200	0.3036853245
201	0.3034301565
202	0.3031553381
203	0.303002654
204	0.3027336377
205	0.3024386238
206	0.3022457411
207	0.3018473777
208	0.3014711011
209	0.3010155493
210	0.300798881
211	0.3006073767
212	0.300302201
213	0.2999141276
214	0.2996748596
215	0.2994921388
216	0.2993757745
217	0.2990930381
218	0.298883935
219	0.2987323729
220	0.2984327108
221	0.2982606006
222	0.2981427938
223	0.2979842755
224	0.2977397502
225	0.2973488559
226	0.2971533126
227	0.2967805622
228	0.2964522418
229	0.2962462481
230	0.2960938205
231	0.2958320169
232	0.2956379161
233	0.2954238122
234	0.2953368115
235	0.2951878139
236	0.2950628585
237	0.2948160893
238	0.2947013919
239	0.2945765648
240	0.2943785852
241	0.2940047448
242	0.2938341413
243	0.2936570624
244	0.2935990406
245	0.2934048116
246	0.2932441134
247	0.2929531065
248	0.2928060964
249	0.2923834664
250	0.2921611882
251	0.2919888216
252	0.2917170805
253	0.291576674
254	0.2914079297
255	0.2912524568
256	0.2910495085
257	0.2909913905
258	0.2908542537
259	0.290688683
260	0.2904523321
261	0.2900877239
262	0.2899416114
263	0.2895968782
264	0.2893519682
265	0.2891820379
266	0.2889983874
267	0.2887207801
268	0.2886392609
269	0.2885243712
270	0.2884757419
271	0.2882436223
272	0.2880653253
273	0.2877184443
274	0.2874836641
275	0.287389611
276	0.2872331122
277	0.2870895001
278	0.2868179834
279	0.2866112204
280	0.2862531838
281	0.2859626257
282	0.2857595492
283	0.285546984
284	0.2852610099
285	0.2850464893
286	0.2848428037
287	0.2847243878
288	0.2844122879
289	0.2842362989
290	0.2840941613
291	0.2839113444
292	0.2836996127
293	0.2834897081
294	0.2831927388
295	0.2827689868
296	0.2825404576
297	0.2823111911
298	0.2821522881
299	0.2820082272
300	0.2817829356
301	0.2814667325
302	0.2812073651
303	0.2810689461
304	0.2809114857
305	0.2807534162
306	0.280513539
307	0.2803455641
308	0.2802124665
309	0.2798627966
310	0.2796818068
311	0.2794409359
312	0.2792318328
313	0.2789158541
314	0.2788988001
315	0.2786642123
316	0.2784497878
317	0.2782359404
318	0.278093354
319	0.2777649054
320	0.2775302855
321	0.2773290682
322	0.2770939995
323	0.2768631623
324	0.276708683
325	0.2762782313
326	0.2760242815
327	0.2759249711
328	0.2757792112
329	0.2756656679
330	0.2753943756
331	0.275081923
332	0.2749485368
333	0.2747536026
334	0.2745581234
335	0.2742248663
336	0.2740306053
337	0.2738829861
338	0.2737982934
339	0.273545145
340	0.2732527276
341	0.2730180436
342	0.2728504854
343	0.2725846106
344	0.2724273746
345	0.2723010728
346	0.2720428274
347	0.271986761
348	0.2718453287
349	0.2716842138
350	0.2714540177
351	0.2713378778
352	0.2711746472
353	0.2710620335
354	0.2706830962
355	0.2705887546
356	0.270422671
357	0.2702442137
358	0.2700110684
359	0.2700063882
360	0.269884959
361	0.2697672483
362	0.2696242132
363	0.2693091641
364	0.2691722838
365	0.2690239273
366	0.2688118109
367	0.2685265741
368	0.26833172
369	0.2681933651
370	0.2679933019
371	0.2678730107
372	0.2677536812
373	0.2674815394
374	0.2674206806
375	0.2673478167
376	0.2670082605
377	0.2668212282
378	0.266700937
379	0.2665930355
380	0.2664600661
381	0.2664119656
382	0.2662491518
383	0.2660636261
384	0.2659334776
385	0.265765711
386	0.2656189734
387	0.2654956369
388	0.2654406123
389	0.2653331276
390	0.265155664
391	0.2649121325
392	0.2646551212
393	0.264389583
394	0.2642855123
395	0.264191331
396	0.2640400093
397	0.2638690532
398	0.2637452198
399	0.2636378953
400	0.2632719729
401	0.2630184719
402	0.2628430118
403	0.2627217108
404	0.2625865776
405	0.2624023181
406	0.2622710797
407	0.2621322439
408	0.2619611436
409	0.261804196
410	0.2616441711
411	0.2614403092
412	0.2612776396
413	0.2611494786
414	0.2609974837
415	0.2608206933
416	0.2606730581
417	0.2603334699
418	0.260230409
419	0.2601359071
420	0.2600591323
421	0.2598814604
422	0.2597438428
423	0.2596373678
424	0.2595369515
425	0.2594756599
426	0.2592965775
427	0.2590250608
428	0.2588614937
429	0.2587892548
430	0.2585593632
431	0.258339938
432	0.2582389928
433	0.2580614491
434	0.2578609691
435	0.2576115552
436	0.2574614837
437	0.2573494791
438	0.257142652
439	0.2568582006
440	0.2566968774
441	0.2566596921
442	0.2564849854
443	0.2563399948
444	0.2562224765
445	0.2560214676
446	0.2558341627
447	0.2555759494
448	0.2554254452
449	0.2552891258
450	0.2551021095
451	0.255019789
452	0.2549243414
453	0.2548322277
454	0.2546766906
455	0.2545917415
456	0.2544865648
457	0.2543102232
458	0.2541473613
459	0.2540193766
460	0.2539263653
461	0.2538072923
462	0.2537119889
463	0.2536178076
464	0.2534445113
465	0.2532598832
466	0.2531351843
467	0.2529567911
468	0.2527403791
469	0.2526672748
470	0.2524662178
471	0.2522419841
472	0.2520405585
473	0.2518493749
474	0.2516784668
475	0.2515140021
476	0.2512501789
477	0.2511683552
478	0.2510807935
479	0.2510005727
480	0.2508455645
481	0.2508038112
482	0.2506171796
483	0.2503616589
484	0.2502104815
485	0.2500694018
486	0.2499667096
487	0.2498637768
488	0.2497337405
489	0.2495841018
490	0.2493031285
491	0.2491417252
492	0.2490347213
493	0.2487951487
494	0.2486185987
495	0.2484824557
496	0.2483206837
497	0.2481720548
498	0.2480870736
499	0.2479316006
500	0.2478023176
501	0.2477385577
502	0.2475808088
503	0.2474228194
504	0.2473319559
505	0.2472507894
506	0.2470764833
507	0.2468999334
508	0.2466426817
509	0.2464506646
510	0.2463519313
511	0.2461201644
512	0.2458125523
513	0.2456433272
514	0.2455985125
515	0.2453809145
516	0.2452722758
